时间,经度,纬度,传感器类型,RA_1_1,RA_1_2,RA_2_1,RA_2_2,RA_3_1,RA_3_2,RA_4_1,RA_4_2,信号源批号,目标编号
2018042910294896,128.405954,28.64692637,R,3,"3421.782, 3840.667",2,"10.238, 21.447, 42.712",2,"1501.01, 1706.53, 2008.59",2,0.55327,109,13
2018042910320795,128.3998641,28.63081759,R,3,"3431.518, 3909.866",2,"10.213, 21.451, 41.508",2,"1493.12, 1717.32, 1977.3",2,0.57136,109,13
2018042910331668,128.3918333,28.62231221,R,3,"3424.939, 3863.444",2,"10.236, 20.695, 41.815",2,"1457.13, 1678.65, 1965.45",2,0.53654,109,13
2018042910360804,128.3845152,28.60372117,R,3,"3416.412, 3930.827",2,"9.9031, 21.351, 40.38",2,"1483.83, 1679.4, 2019.75",2,0.5257,109,13
2018042910364520,128.3812915,28.59950378,R,3,"3408.347, 3916.573",2,"10.113, 21.169, 42.78",2,"1478.03, 1707.2, 1970.94",2,0.54866,109,13
2018042910375210,128.3795908,28.59082176,R,3,"3425.742, 3908.11",2,"10.359, 21.382, 41.693",2,"1556.71, 1680, 1994.57",2,0.55303,109,13
2018042910392210,128.3738797,28.58186075,R,3,"3409.839, 3915.352",2,"10.375, 21.55, 41.456",2,"1532.02, 1744.35, 2046.63",2,0.5504,109,13
2018042910405036,128.3669762,28.57244132,R,3,"3365.525, 3922.557",2,"10.218, 21.516, 40.791",2,"1502.02, 1656.99, 2038.22",2,0.54547,109,13
2018042910421802,128.3643666,28.56266659,R,3,"3413.019, 3859.753",2,"10.144, 20.815, 41.175",2,"1498.04, 1718.8, 2032.34",2,0.54641,109,13
2018042910434433,128.3597591,28.55164792,R,3,"3400.876, 3930.279",2,"10.336, 21.536, 41.509",2,"1544.25, 1679.82, 1986.18",2,0.54667,109,13
2018042910454351,128.3508319,28.53918078,R,3,"3391.862, 3953.814",2,"9.7908, 21.02, 41.53",2,"1454.84, 1680.71, 1930.44",2,0.56488,109,13
2018042910465179,128.3474626,28.53206978,R,3,"3455.717, 4002.203",2,"10.219, 21.453, 41.902",2,"1533.56, 1698.24, 1999.43",2,0.5381,109,13
2018042910483531,128.3441867,28.51977091,R,3,"3345.35, 3926.34",2,"10.879, 21.048, 40.097",2,"1525.14, 1695.9, 2037.77",2,0.54319,109,13
2018042910504972,128.3343935,28.50537756,R,3,"3454.929, 3905.416",2,"10.469, 20.932, 39.729",2,"1539.76, 1708.71, 2021.14",2,0.54612,109,13
2018042910515916,128.3320871,28.49675879,R,3,"3358.283, 3933.08",2,"10.299, 20.329, 41.119",2,"1505.28, 1705.59, 2015.71",2,0.56294,109,13
2018042910532324,128.3281358,28.48833087,R,3,"3446.296, 3959.421",2,"10.235, 20.773, 41.244",2,"1468.15, 1670.19, 1983.96",2,0.54305,109,13
2018042910551001,128.3214216,28.47660787,R,3,"3400.096, 3903.557",2,"10.114, 21.222, 41.554",2,"1484.53, 1715.43, 2023.38",2,0.53396,109,13
2018042910574995,128.3130357,28.4584116,R,3,"3434.908, 3901.186",2,"10.369, 21.552, 40.338",2,"1518.11, 1661.1, 1962.97",2,0.54476,109,13
2018042911013070,128.2982592,28.43321492,R,3,"3431.022, 3891.604",2,"10.218, 20.976, 42.154",2,"1532.02, 1696.67, 2006.94",2,0.54501,109,13
