时间,经度,纬度,传感器类型,L2A_1,L2A_2,L2A_3,信号源批号,目标编号
2018042910301442,128.4060457,28.64625833,L2,244.9442,380.7561,1.56,438,10
2018042910352730,128.3879488,28.60998235,L2,244.9442,380.7561,1.67,438,10
2018042910381590,128.3796365,28.59257112,L2,244.6612,380.7561,1.55,438,10
2018042910471802,128.3429145,28.53096559,L2,244.6612,380.7561,1.57,438,10
2018042910584145,128.3073554,28.45584859,L2,244.6612,380.7561,1.6,438,10
2018042911081156,128.2744628,28.3905496,L2,244.6612,380.7561,1.6,438,10
2018042911130734,128.2571782,28.35828255,L2,244.6612,380.7561,1.59,438,10
2018042910373997,124.5310618,26.36641857,L2,341.9061,399.9824,1.61,736,20
2018042911113349,124.3591711,26.1723367,L2,341.9061,400.1104,1.62,736,20
2018042911213902,124.3045715,26.11412287,L2,341.9061,400.1104,1.62,736,20
2018042911224099,124.3012625,26.10864573,L2,341.9061,400.229,1.68,736,20
2018042911273801,124.2795916,26.08002975,L2,341.7341,400.229,1.58,736,20
2018042911284508,124.2713956,26.07334445,L2,341.7341,400.229,1.62,736,20
